elevation,habitat_class,country,percent_loss,longitude_round,area,averagecountry,secountry,averageclass,seclass
3248,moderate,bhutan,0,91,0,0.335161377,0.049644415,1.17929022,0.115853324
2751,moderate,china,0,98,0,1.219872364,0.163011557,1.17929022,0.115853324
876,moderate,china_spp,0,103,0,1.15281729,0.141674902,1.17929022,0.115853324
2678,low,china,2.643573382,96,2643.573382,1.219872364,0.163011557,1.203701833,0.119280872
3669,moderate,china,0.813743219,100,813.743219,1.219872364,0.163011557,1.17929022,0.115853324
1801,moderate,china,0,98,0,1.219872364,0.163011557,1.17929022,0.115853324
3556,low,india,0,92,0,1.546944592,0.245287153,1.203701833,0.119280872
3763,low,india,0.12642225,95,126.42225,1.546944592,0.245287153,1.203701833,0.119280872
3118,low,china,0,100,0,1.219872364,0.163011557,1.203701833,0.119280872
3585,moderate,china,0,100,0,1.219872364,0.163011557,1.17929022,0.115853324
2884,core,china_spp,0.096711799,102,96.711799,1.15281729,0.141674902,0.496506815,0.077524625
3105,low,china,8.96969697,101,8969.69697,1.219872364,0.163011557,1.203701833,0.119280872
3325,low,china_spp,0.15037594,102,150.37594,1.15281729,0.141674902,1.203701833,0.119280872
2080,low,china,0.522193211,101,522.193211,1.219872364,0.163011557,1.203701833,0.119280872
685,low,india,0,91,0,1.546944592,0.245287153,1.203701833,0.119280872
2656,low,burma,0.384245917,99,384.245917,1.184982172,0.215918281,1.203701833,0.119280872
2624,moderate,bhutan,0.721370604,92,721.370604,0.335161377,0.049644415,1.17929022,0.115853324
2243,moderate,china_spp,0,102,0,1.15281729,0.141674902,1.17929022,0.115853324
3177,core,nepal,0.091659028,82,91.659028,0.74153777,0.1118324,0.496506815,0.077524625
2373,low,china,0,93,0,1.219872364,0.163011557,1.203701833,0.119280872
3227,moderate,china,1.308900524,99,1308.900524,1.219872364,0.163011557,1.17929022,0.115853324
3874,low,china,0,95,0,1.219872364,0.163011557,1.203701833,0.119280872
3007,low,china,0,97,0,1.219872364,0.163011557,1.203701833,0.119280872
922,core,burma,0,98,0,1.184982172,0.215918281,0.496506815,0.077524625
1475,core,burma,0.450856628,97,450.856628,1.184982172,0.215918281,0.496506815,0.077524625
3425,moderate,china,0,99,0,1.219872364,0.163011557,1.17929022,0.115853324
3552,low,india,0,95,0,1.546944592,0.245287153,1.203701833,0.119280872
3905,low,china,0,101,0,1.219872364,0.163011557,1.203701833,0.119280872
2844,moderate,china,0.142653352,100,142.653352,1.219872364,0.163011557,1.17929022,0.115853324
3654,low,china,0,101,0,1.219872364,0.163011557,1.203701833,0.119280872
3208,low,china,13.02027748,92,13020.27748,1.219872364,0.163011557,1.203701833,0.119280872
659,moderate,india,25.10162602,91,25101.62602,1.546944592,0.245287153,1.17929022,0.115853324
3427,moderate,china_spp,0,103,0,1.15281729,0.141674902,1.17929022,0.115853324
3085,moderate,china,17.47126437,100,17471.26437,1.219872364,0.163011557,1.17929022,0.115853324
2632,low,china,0,95,0,1.219872364,0.163011557,1.203701833,0.119280872
1608,low,nepal,0,84,0,0.74153777,0.1118324,1.203701833,0.119280872
1538,low,china_spp,0.74906367,104,749.06367,1.15281729,0.141674902,1.203701833,0.119280872
3689,moderate,china_spp,0,103,0,1.15281729,0.141674902,1.17929022,0.115853324
2675,moderate,china_spp,0.555041628,102,555.041628,1.15281729,0.141674902,1.17929022,0.115853324
3928,low,china,0,96,0,1.219872364,0.163011557,1.203701833,0.119280872
1627,low,china_spp,2.105263158,104,2105.263158,1.15281729,0.141674902,1.203701833,0.119280872
2010,low,burma,0,97,0,1.184982172,0.215918281,1.203701833,0.119280872
3531,low,china,0.191021968,99,191.021968,1.219872364,0.163011557,1.203701833,0.119280872
1242,low,burma,0,96,0,1.184982172,0.215918281,1.203701833,0.119280872
3389,moderate,burma,0,98,0,1.184982172,0.215918281,1.17929022,0.115853324
3396,low,china,0,94,0,1.219872364,0.163011557,1.203701833,0.119280872
2021,low,china,1.621621622,100,1621.621622,1.219872364,0.163011557,1.203701833,0.119280872
3949,low,china,6.5,100,6500,1.219872364,0.163011557,1.203701833,0.119280872
3714,moderate,bhutan,0.856793146,90,856.793146,0.335161377,0.049644415,1.17929022,0.115853324
3878,low,china,0,94,0,1.219872364,0.163011557,1.203701833,0.119280872
1268,low,burma,2.073940487,97,2073.940487,1.184982172,0.215918281,1.203701833,0.119280872
3041,core,nepal,0.182815356,82,182.815356,0.74153777,0.1118324,0.496506815,0.077524625
2757,moderate,bhutan,0,89,0,0.335161377,0.049644415,1.17929022,0.115853324
2703,low,nepal,1.10701107,82,1107.01107,0.74153777,0.1118324,1.203701833,0.119280872
3728,core,india,0,92,0,1.546944592,0.245287153,0.496506815,0.077524625
2181,low,china_spp,0,103,0,1.15281729,0.141674902,1.203701833,0.119280872
3809,low,china,0,97,0,1.219872364,0.163011557,1.203701833,0.119280872
3301,low,china,0,100,0,1.219872364,0.163011557,1.203701833,0.119280872
3920,low,china,0.115606936,99,115.606936,1.219872364,0.163011557,1.203701833,0.119280872
2293,low,burma,0.180342651,98,180.342651,1.184982172,0.215918281,1.203701833,0.119280872
3909,low,china_spp,0,103,0,1.15281729,0.141674902,1.203701833,0.119280872
1625,core,burma,6.34057971,98,6340.57971,1.184982172,0.215918281,0.496506815,0.077524625
2562,moderate,india,0,88,0,1.546944592,0.245287153,1.17929022,0.115853324
881,low,burma,0,97,0,1.184982172,0.215918281,1.203701833,0.119280872
2246,core,india,0,94,0,1.546944592,0.245287153,0.496506815,0.077524625
3218,low,china,2.272727273,101,2272.727273,1.219872364,0.163011557,1.203701833,0.119280872
1155,moderate,india,14.49126413,91,14491.26413,1.546944592,0.245287153,1.17929022,0.115853324
3100,moderate,china_spp,0,103,0,1.15281729,0.141674902,1.17929022,0.115853324
1928,moderate,nepal,0,85,0,0.74153777,0.1118324,1.17929022,0.115853324
1803,low,india,2.036659878,96,2036.659878,1.546944592,0.245287153,1.203701833,0.119280872
3931,low,china,0.533333333,98,533.333333,1.219872364,0.163011557,1.203701833,0.119280872
3331,low,china,7.051909892,94,7051.909892,1.219872364,0.163011557,1.203701833,0.119280872
1989,low,burma,0.550055006,97,550.055006,1.184982172,0.215918281,1.203701833,0.119280872
2870,moderate,china_spp,0,104,0,1.15281729,0.141674902,1.17929022,0.115853324
3226,core,india,0,92,0,1.546944592,0.245287153,0.496506815,0.077524625
3135,moderate,nepal,0,82,0,0.74153777,0.1118324,1.17929022,0.115853324
3007,core,india,0,96,0,1.546944592,0.245287153,0.496506815,0.077524625
2641,low,china_spp,0,104,0,1.15281729,0.141674902,1.203701833,0.119280872
3383,moderate,china_spp,1.294964029,103,1294.964029,1.15281729,0.141674902,1.17929022,0.115853324
1921,low,burma,0,97,0,1.184982172,0.215918281,1.203701833,0.119280872
