loss_mean,elevation,longitude,Country,iucn,over_20_pc_canopy_cover,Habitat_class,iucn,,,loss_mean,elevation,longitude,Country,iucn,over_20_pc_canopy_cover,Habitat_class
0.001015228,3178,82.13940427,Nepal,,1,Low,,,,0.001015228,3178,82.13940427,Nepal,,1,Low
0,1582,92.66855771,India,,1,Moderate,,,,0,1582,92.66855771,India,,1,Moderate
0,2348,103.0414043,china_styani,,1,Moderate,,,,0,2348,103.0414043,china_styani,,1,Moderate
0.001019368,3161,100.0139021,China_fulgens,,1,Moderate,,,,0.001019368,3161,100.0139021,China_fulgens,,1,Moderate
9.07E-04,1205,97.94687866,Burma,IUCN IV,1,Moderate,,,,0.000907441,1205,97.94687866,Burma,IUCN IV,1,Moderate
,5337,87.40802341,China_fulgens,,0,Low,,,,,5337,87.40802341,China_fulgens,,0,Low
,4147,93.94380609,China_fulgens,,0,Moderate,,,,,4147,93.94380609,China_fulgens,,0,Moderate
,4996,101.8319126,china_styani,,0,Moderate,,,,,4996,101.8319126,china_styani,,0,Moderate
,2497,94.95683624,China_fulgens,,0,Moderate,,,,,2497,94.95683624,China_fulgens,,0,Moderate
0,3515,90.84973876,Bhutan,,1,Moderate,,,,0,3515,90.84973876,Bhutan,,1,Moderate
0.058611362,1744,103.3047005,china_styani,,1,Moderate,,,,0.058611362,1744,103.3047005,china_styani,,1,Moderate
,4074,94.08529075,China_fulgens,,0,Moderate,,,,,4074,94.08529075,China_fulgens,,0,Moderate
0,3151,98.99602108,China_fulgens,,1,Low,,,,0,3151,98.99602108,China_fulgens,,1,Low
0,3803,90.05580771,Bhutan,IUCN II,1,Moderate,,,,0,3803,90.05580771,Bhutan,IUCN II,1,Moderate
,1079,103.4429512,china_styani,,0,Low,,,,,1079,103.4429512,china_styani,,0,Low
0,2816,98.61630321,China_fulgens,,1,Low,,,,0,2816,98.61630321,China_fulgens,,1,Low
0.00405954,2051,102.7382229,china_styani,,1,Moderate,,,,0.00405954,2051,102.7382229,china_styani,,1,Moderate
,3140,97.54075032,China_fulgens,,0,Low,,,,,3140,97.54075032,China_fulgens,,0,Low
,3641,97.4270236,China_fulgens,,0,Low,,,,,3641,97.4270236,China_fulgens,,0,Low
,1685,91.5245532,India,,0,Low,,,,,1685,91.5245532,India,,0,Low
0.107370337,3984,90.95106872,Bhutan,IUCN II,1,Core,,,,0.107370337,3984,90.95106872,Bhutan,IUCN II,1,Core
,4003,98.5173987,China_fulgens,,0,Moderate,,,,,4003,98.5173987,China_fulgens,,0,Moderate
0,1640,98.1239366,Burma,IUCN II,1,Moderate,,,,0,1640,98.1239366,Burma,IUCN II,1,Moderate
,3736,95.72597378,China_fulgens,,0,Low,,,,,3736,95.72597378,China_fulgens,,0,Low
,2217,96.03697053,India,,0,Low,,,,,2217,96.03697053,India,,0,Low
,2711,99.6368792,China_fulgens,,0,Low,,,,,2711,99.6368792,China_fulgens,,0,Low
,2579,84.61983243,Nepal,,0,Moderate,,,,,2579,84.61983243,Nepal,,0,Moderate
,4309,98.03365592,China_fulgens,,0,Low,,,,,4309,98.03365592,China_fulgens,,0,Low
0,3336,101.3072066,China_fulgens,,1,Low,,,,0,3336,101.3072066,China_fulgens,,1,Low
0,3131,95.49798136,China_fulgens,,1,Low,,,,0,3131,95.49798136,China_fulgens,,1,Low
9.60E-04,2992,98.75078101,China_fulgens,,1,Low,,,,0.000959693,2992,98.75078101,China_fulgens,,1,Low
,2016,83.32383297,Nepal,,0,Moderate,,,,,2016,83.32383297,Nepal,,0,Moderate
0,2227,100.3219344,China_fulgens,,1,Low,,,,0,2227,100.3219344,China_fulgens,,1,Low
0,3111,98.34680862,China_fulgens,,1,Low,,,,0,3111,98.34680862,China_fulgens,,1,Low
,2861,100.3777198,China_fulgens,,0,Low,,,,,2861,100.3777198,China_fulgens,,0,Low
,4664,93.39511512,China_fulgens,,0,Low,,,,,4664,93.39511512,China_fulgens,,0,Low
,2801,99.58001585,China_fulgens,,0,Low,,,,,2801,99.58001585,China_fulgens,,0,Low
0,3993,94.26585212,China_fulgens,,1,Low,,,,0,3993,94.26585212,China_fulgens,,1,Low
,1215,103.1174018,china_styani,,0,Low,,,,,1215,103.1174018,china_styani,,0,Low
0,3381,99.13292433,China_fulgens,,1,Moderate,,,,0,3381,99.13292433,China_fulgens,,1,Moderate
,1454,91.27742666,India,,0,Moderate,,,,,1454,91.27742666,India,,0,Moderate
,3337,82.04427268,Nepal,,0,Moderate,,,,,3337,82.04427268,Nepal,,0,Moderate
0.078373016,1246,104.0032305,china_styani,,1,Low,,,,0.078373016,1246,104.0032305,china_styani,,1,Low
0,3482,96.1482718,India,,1,Core,,,,0,3482,96.1482718,India,,1,Core
0.055004509,1511,98.12124166,Burma,IUCN IV,1,Low,,,,0.055004509,1511,98.12124166,Burma,IUCN IV,1,Low
0.042666667,2447,100.3965844,China_fulgens,,1,Low,,,,0.042666667,2447,100.3965844,China_fulgens,,1,Low
0.002087683,2933,98.63462884,Burma,,1,Low,,,,0.002087683,2933,98.63462884,Burma,,1,Low
0,1610,81.77127466,Nepal,,1,Moderate,,,,0,1610,81.77127466,Nepal,,1,Moderate
,3169,100.047589,China_fulgens,,0,Low,,,,,3169,100.047589,China_fulgens,,0,Low
0,3990,96.01002108,China_fulgens,,1,Low,,,,0,3990,96.01002108,China_fulgens,,1,Low
0,2922,81.98821781,Nepal,,1,Moderate,,,,0,2922,81.98821781,Nepal,,1,Moderate
0.002212389,3878,100.6264633,China_fulgens,,1,Low,,,,0.002212389,3878,100.6264633,China_fulgens,,1,Low
0,2114,91.24616529,Bhutan,,1,Low,,,,0,2114,91.24616529,Bhutan,,1,Low
,1473,102.4687283,china_styani,,0,Moderate,,,,,1473,102.4687283,china_styani,,0,Moderate
,4133,102.9276776,china_styani,,0,Moderate,,,,,4133,102.9276776,china_styani,,0,Moderate
0,1978,93.24527613,India,,1,Low,,,,0,1978,93.24527613,India,,1,Low
0.020833333,2863,100.5717559,China_fulgens,,1,Moderate,,,,0.020833333,2863,100.5717559,China_fulgens,,1,Moderate
