loss_mean,elevation,Country,IUCN RATING,over_20_pc_canopy_cover,Habitat_class,longitude
,1468,Nepal,,0,Low,86
0.008628955,2387,Nepal,IUCN II,1,Moderate,85
,2507,China_fulgens,,0,Low,100
0,3190,China_fulgens,,1,Low,99
,3700,China_fulgens,,0,Low,100
0,1543,Burma,IUCN II,1,Low,98
,3857,China_fulgens,,0,Low,96
,4026,Nepal,IUCN VI,0,Low,84
9.73E-04,2847,china_styani,,1,Core,103
,5301,Nepal,IUCN VI,0,Low,87
0,2549,china_styani,,1,Low,103
0.009803922,1650,china_styani,,1,Moderate,102
,4555,Nepal,IUCN VI,0,Moderate,86
0.003389831,3437,China_fulgens,,1,Low,95
0.001222494,3775,China_fulgens,,1,Low,99
0.001187648,4235,China_fulgens,,1,Moderate,100
0.001754386,2642,China_fulgens,,1,Low,101
0,3767,China_fulgens,,1,Moderate,100
0,2181,Burma,,1,Moderate,99
0.001324503,1848,Nepal,,1,Low,82
,3125,Bhutan,IUCN II,0,Core,91
0,2415,India,,1,Core,88
0,2694,China_fulgens,,1,Low,100
0.010322581,3412,China_fulgens,,1,Low,100
,2134,china_styani,,0,Core,103
9.44E-04,2940,china_styani,,1,Moderate,102
,3485,china_styani,,0,Low,104
0,3354,China_fulgens,,1,Low,100
0,2403,Burma,,1,Core,98
0.087412587,3613,China_fulgens,,1,Low,99
,2640,Bhutan,,0,Moderate,91
,2973,china_styani,,0,Moderate,102
0,3393,India,,1,Low,94
,2212,china_styani,,0,Low,103
,2595,Nepal,,0,Moderate,85
0.010802469,3187,Bhutan,,1,Low,90
,3636,China_fulgens,,0,Low,96
0.003690037,3529,China_fulgens,,1,Low,99
,3017,China_fulgens,,0,Low,94
0,2451,Nepal,,1,Moderate,87
,1911,China_fulgens,,0,Moderate,100
,4413,Nepal,IUCN VI,0,Low,84
0,4778,China_fulgens,,1,Low,94
0.008528785,3625,India,IUCN II,1,Core,88
0.014177694,2244,China_fulgens,,1,Low,98
0,1344,Bhutan,,1,Moderate,91
0,1796,china_styani,,1,Moderate,103
,1893,Nepal,,0,Low,83
,3239,Burma,,0,Moderate,99
,4466,China_fulgens,,0,Low,96
0.019837692,989,Burma,IUCN IV,1,Low,98
0.075085324,2104,China_fulgens,,1,Low,99
,3766,China_fulgens,,0,Low,96
,2042,Nepal,,0,Low,83
0,3923,China_fulgens,,1,Low,99
0,2397,china_styani,,1,Moderate,102
,4593,China_fulgens,,0,Low,99
,1511,Nepal,,0,Low,85
,2557,china_styani,,0,Low,103
0,1568,Burma,IUCN IV,1,Core,97
0,1559,Burma,,1,Moderate,98
0,2501,India,,1,Moderate,93
,4051,China_fulgens,,0,Low,100
,3684,China_fulgens,,0,Low,97
,3979,China_fulgens,,0,Moderate,94
0,2339,Burma,,1,Core,99
0.006311993,1863,china_styani,,1,Low,104
0,3420,China_fulgens,,1,Moderate,100
,3830,China_fulgens,,0,Moderate,95
0.002998501,1835,Nepal,,1,Moderate,86
,2585,India,,0,Low,97
0,2946,China_fulgens,,1,Moderate,99
0,3659,China_fulgens,,1,Moderate,99
0.002717391,3825,China_fulgens,,1,Moderate,99
0,3510,China_fulgens,,1,Low,100
,2315,China_fulgens,,0,Moderate,99
,3079,Burma,IUCN IV,0,Moderate,98
0.010752688,3181,Bhutan,IUCN II,1,Moderate,90
0.005102041,3143,Nepal,IUCN II,1,Core,87
0,1986,India,IUCN IV,1,Low,96
0,2607,china_styani,,1,Moderate,102
,3743,China_fulgens,,0,Low,95
0,3124,Nepal,IUCN II,1,Core,86
0,3438,India,,1,Low,96
0,2529,India,,1,Low,96
0,3715,Nepal,,1,Low,82
0,2794,Nepal,,1,Moderate,85
,2379,China_fulgens,,0,Low,99
,3735,India,,0,Moderate,94
0.001077586,2983,china_styani,,1,Moderate,102
0,3231,China_fulgens,,1,Low,99
0,3692,China_fulgens,,1,Low,99
0,1997,Burma,,1,Moderate,98
0,3684,China_fulgens,,1,Low,97
,5741,China_fulgens,,0,Low,95
0,2516,china_styani,,1,Moderate,103
0.090064995,2817,china_styani,,1,Low,104
0.006334842,2107,china_styani,,1,Moderate,103
0,1799,India,,1,Low,93
