elevation,over_20_pc_canopy_cover,habitat_class,country,percent_loss,longitude_round
3846,0,low,china,0,98
1734,0,moderate,nepal,0,82
4029,0,low,china,0,95
2370,1,core,burma,0,98
1088,1,low,china_spp,6.25,103
3341,1,moderate,india,0.910931174,92
3087,0,moderate,burma,0,97
3137,1,low,china,0,100
3159,0,low,nepal,0,83
3016,1,core,india,0,96
2840,1,moderate,nepal,0.143472023,81
3548,1,moderate,china_spp,0,102
2490,0,low,china,0,101
4683,0,moderate,china,0,94
3757,0,low,china,0,101
2336,1,moderate,nepal,0,84
4062,1,low,china,0,100
3297,0,low,china,0,99
2717,1,moderate,china,0,99
2836,1,moderate,china,8.641975309,100
2628,1,moderate,burma,0,98
2386,1,moderate,burma,0,98
3246,1,moderate,china,0,100
3332,0,moderate,nepal,0,85
3785,0,moderate,china,0,98
3530,0,moderate,china,0,100
3636,0,moderate,china,0,100
959,1,low,india,0.541027953,95
3472,0,low,india,0,97
1948,1,low,china,0,95
3143,0,low,china,0,95
2675,1,core,nepal,0,87
3052,1,moderate,india,0,94
2339,1,low,,0,99
3095,1,moderate,burma,0.471698113,98
2780,1,moderate,china,1.5625,99
3586,0,low,india,0,95
2870,0,core,nepal,0,88
2224,1,moderate,china_spp,0.633484163,103
1051,1,core,burma,2.734375,98
3395,1,moderate,china,1.52027027,99
3424,0,low,china,0,98
3775,1,low,,0,100
3986,0,low,china,0,93
3132,1,low,india,0,94
2407,0,low,china_spp,0,104
2494,1,low,,0,99
2234,1,moderate,bhutan,0,91
1223,1,low,burma,3.42651037,97
2526,1,low,india,0,97
2145,1,moderate,bhutan,0,89
4954,0,low,china,0,97
2880,1,low,india,0.106496273,94
3208,0,low,china,0,99
2492,1,low,india,0,93
3484,1,moderate,china_spp,0,103
2896,1,moderate,india,0,92
1288,0,moderate,nepal,0,88
3718,0,low,china,0,91
2828,1,low,,0.257069409,100
4598,0,low,china,0,100
1061,1,low,burma,0,97
4633,0,low,china,0,98
2198,0,low,nepal,0,83
2960,1,moderate,china_spp,0.280112045,103
3176,1,low,burma,1.763224181,99
1286,1,low,burma,0,98
1382,1,moderate,burma,0,97
3853,0,low,,0,99
2769,0,moderate,china,0,99
4378,0,moderate,nepal,0,83
1675,1,low,india,5.860805861,96
3995,1,low,china,0,100
4267,0,low,china,0,95
2774,1,moderate,bhutan,0,90
3122,1,moderate,china_spp,0,102
3891,1,moderate,bhutan,1.722158439,90
3640,1,core,india,0,93
1682,0,moderate,nepal,0,87
3824,1,moderate,china,0,100
3562,1,core,china,0,99
3394,0,moderate,china_spp,0,103
4356,0,moderate,china,0,98
3117,1,moderate,india,0,93
3750,1,low,,0.551470588,99
3606,1,low,china_spp,0,102
4549,0,low,china,0,98
1372,0,low,nepal,0,84
2986,0,low,,0,99
3204,0,moderate,china,0,99
4591,0,low,china,0,96
4676,0,low,china,0,97
4215,0,low,china,0,97
2997,1,moderate,china_spp,0,102
1636,0,low,china_spp,0,104
1805,1,low,china,0.460122699,101
3816,0,low,china,0,97
771,1,low,burma,0.090171326,97
1669,0,low,india,0,97
4198,1,low,china,0,95
3432,0,core,india,0,94
2629,0,low,nepal,0,83
2194,1,low,china_spp,0,104
2690,1,moderate,china_spp,0,103
1459,1,low,china_spp,0.408163265,104
4010,1,low,china,0.307692308,94
3052,0,core,bhutan,0,91
4071,1,low,china,0,94
3919,1,moderate,china,0.591715976,99
1197,1,low,china_spp,0,104
3657,1,low,india,10.88372093,94
1432,0,moderate,nepal,0,87
3819,1,low,china_spp,0.546946217,102
3483,1,low,china_spp,1.268115942,102
3594,0,low,bhutan,0,90
3091,0,low,india,0,95
3227,0,moderate,nepal,0,83
2990,0,low,china,0,94
3415,0,moderate,china,0,94
3274,1,low,india,0,95
3846,1,low,china,0,99
3355,1,low,china,0,101
3467,1,low,china_spp,0,102
3781,1,low,nepal,0.913242009,82
4157,0,low,bhutan,0,92
2485,0,moderate,china,0,100
3601,1,low,bhutan,4.550625711,90
2983,1,low,china_spp,0,103
2290,1,moderate,burma,2.818181818,98
2588,1,low,china_spp,0,104
3610,1,core,india,0,96
1481,0,low,india,0,96
1694,0,low,india,0,96
2438,1,moderate,china_spp,0,103
1855,1,moderate,,0.907029478,99
1764,1,moderate,india,0,92
2494,1,moderate,nepal,0,84
4572,0,low,china,0,97
2619,1,low,,0.093984962,99
1499,0,low,nepal,0,84
3329,0,low,,0,99
3667,1,low,china,0,93
2466,1,low,bhutan,0.429184549,90
2380,1,moderate,china_spp,0.092592593,103
2519,1,core,burma,1.220752798,98
2425,1,low,bhutan,0,92
3702,0,core,india,0,94
3912,0,low,nepal,0,84
3423,0,low,china,0,95
1059,0,moderate,nepal,0,87
1624,1,moderate,china_spp,2.888086643,103
4040,1,low,china,0,100
4174,0,low,india,0,93
2456,1,low,china_spp,4.147880974,104
2816,0,moderate,china,0,101
3083,0,low,china,0,100
1705,0,core,nepal,0,87
2952,1,moderate,china,18.97506925,100
2170,1,low,bhutan,0,91
1939,0,core,nepal,0,83
2532,1,low,china,0,97
2521,1,moderate,nepal,0.13568521,82
4108,0,low,china,0,94
3143,1,low,nepal,0.131406045,82
3764,1,low,china_spp,0.233100233,102
4236,1,low,china,0,99
3849,0,low,china,0,95
1861,1,moderate,china_spp,11.48282098,103
3475,1,moderate,china,0,99
3531,1,moderate,china,0,95
3148,1,low,nepal,1.973684211,82
2910,0,core,china_spp,0,103
2241,1,moderate,china_spp,0,103
2800,1,moderate,nepal,0,86
2223,1,low,china,0,95
3136,1,low,india,0.099700897,96
2824,0,moderate,india,0,93
4517,0,low,china,0,97
1603,1,low,burma,0,97
3829,0,moderate,china,0,95
4381,1,moderate,bhutan,0,90
3620,1,moderate,china_spp,0,103
2243,1,lowmoderate,india,0.090171326,94
1221,1,moderate,india,0.324675325,91
1755,0,low,,0,98
1906,1,moderate,nepal,0.203873598,88
3134,0,low,,0,100
2276,0,low,,0,99
1400,1,low,india,0.090171326,97
1498,1,low,china,0,95
3422,0,core,bhutan,0,91
4039,0,moderate,burma,0,98
1046,1,moderate,india,6.832871653,91
2818,1,core,burma,0,98
3934,0,low,nepal,0,83
2990,1,core,burma,0,98
4567,0,low,china,0,96
3086,1,low,india,0.379266751,97
2649,0,moderate,china,0,99
3417,1,low,china,0.486618005,99
2971,0,low,nepal,0,83
2833,1,low,india,0,96
3058,1,low,china,0,95
3060,0,low,china,0,101
2973,1,low,china,0,101
3380,1,moderate,china,0.177935943,100
3719,0,moderate,nepal,0,83
3464,0,core,china,0,99
