loss_mean,elevation,longtitude,country,iucn,over_20_pc_canopy_cover,habitat_class
,4454,99,China_fulgens,,0,Moderate
0,2921,83,Nepal,,1,Low
0,2767,98,Burma,,1,Moderate
0,4323,99,China_fulgens,,1,Low
0,3630,96,India,,1,Moderate
0.003673095,598,92,India,,1,Core
0,3626,96,India,,1,Low
0,1796,103,china_styani,,1,Moderate
,3544,100,China_fulgens,,0,Moderate
0.040650407,1272,103,china_styani,,1,Low
0,2195,82,Nepal,,1,Moderate
0,4034,102,china_styani,,1,Low
0,2373,99,China_fulgens,,1,Low
0,1619,88,Nepal,,1,Moderate
,4858,91,China_fulgens,,0,Low
0,2299,98,China_fulgens,,1,Moderate
0,3037,95,China_fulgens,,1,Moderate
0,2375,97,Burma,IUCN IV,1,Low
0.046218487,3971,94,China_fulgens,,1,Low
0,2049,99,China_fulgens,,1,Moderate
,3461,99,Burma,,0,Moderate
0,2706,96,China_fulgens,,1,Low
0.004338395,3350,94,India,,1,Moderate
,2646,101,China_fulgens,,0,Low
,3371,98,China_fulgens,,0,Low
0,3026,82,Nepal,,1,Low
0.174836601,1383,99,China_fulgens,,1,Low
,4234,82,Nepal,,0,Moderate
0.084326306,3613,100,China_fulgens,,1,Moderate
,3935,96,China_fulgens,,0,Low
0,1766,98,Burma,,1,Core
0.001919386,3121,99,China_fulgens,,1,Low
0,2085,102,china_styani,,1,Low
0,2469,98,Burma,,1,Core
,3762,96,China_fulgens,,0,Low
,2502,82,Nepal,,0,Low
0.020898642,1180,104,china_styani,,1,Low
,2024,102,china_styani,,0,Moderate
,2699,83,Nepal,,0,Low
0,3172,102,china_styani,,1,Moderate
,2227,100,China_fulgens,,0,Low
,2936,98,China_fulgens,,0,Low
0.020758123,1798,98,Burma,,1,Moderate
0.002574003,1310,88,India,,1,Core
0,2583,98,China_fulgens,,1,Moderate
,2210,83,Nepal,,0,Moderate
0,2259,104,china_styani,,1,Low
,4360,98,China_fulgens,,0,Low
,1820,98,,,0,Low
,3252,101,China_fulgens,,0,Low
,1771,84,Nepal,,0,Low
,3788,96,India,,0,Low
0.042016807,1425,103,china_styani,,1,Moderate
0.002183406,2640,94,India,,1,Low
0,2113,102,china_styani,,1,Moderate
0.285923754,3925,100,China_fulgens,,1,Low
0,2199,94,India,,1,Low
0,4079,100,China_fulgens,,1,Moderate
0.001237624,1945,104,china_styani,,1,Low
0.004878049,2049,104,china_styani,,1,Core
0,3387,96,China_fulgens,,1,Low
0,2247,98,Burma,,1,Moderate
,3811,86,Nepal,IUCN II,0,Core
0,2093,97,Burma,IUCN IV,1,Moderate
0,1101,103,china_styani,,1,Low
,4276,96,China_fulgens,,0,Low
0,3119,99,China_fulgens,,1,Low
0.017085427,1353,103,china_styani,,1,Low
0,2133,88,Nepal,,1,Core
,3819,99,China_fulgens,,0,Low
0,4246,99,China_fulgens,,1,Core
0,1970,84,Nepal,,1,Low
0.036082474,2765,99,China_fulgens,,1,Moderate
0.008204193,2135,104,china_styani,,1,Moderate
0,3925,99,China_fulgens,,1,Moderate
0.001203369,3861,99,China_fulgens,,1,Low
0,2756,91,Bhutan,IUCN IV,1,Moderate
,4251,95,China_fulgens,,0,Low
,2263,88,Nepal,,0,Moderate
0,1869,103,china_styani,,1,Low
0.037914692,652,91,India,,1,Moderate
0,2589,97,India,,1,Low
,2508,104,china_styani,,0,Low
,3453,103,china_styani,,0,Moderate
0.205776173,1450,98,Burma,,1,Core
